2024-12-05 14:28:31,025 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Configure stats pid to 2959748
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Loading settings from /home/student/.config/wandb/settings
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Loading settings from /mnt/banana/student/khanh/iKUN-v2/wandb/settings
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/mnt/banana/student/khanh/iKUN-v2/train.py', 'program': '/mnt/banana/student/khanh/iKUN-v2/train.py'}
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_init.py:_log_setup():529] Logging user logs to /mnt/banana/student/khanh/iKUN-v2/wandb/run-20241205_142831-0itszppa/logs/debug.log
2024-12-05 14:28:31,026 INFO    MainThread:2959748 [wandb_init.py:_log_setup():530] Logging internal logs to /mnt/banana/student/khanh/iKUN-v2/wandb/run-20241205_142831-0itszppa/logs/debug-internal.log
2024-12-05 14:28:31,027 INFO    MainThread:2959748 [wandb_init.py:init():569] calling init triggers
2024-12-05 14:28:31,027 INFO    MainThread:2959748 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-12-05 14:28:31,027 INFO    MainThread:2959748 [wandb_init.py:init():619] starting backend
2024-12-05 14:28:31,027 INFO    MainThread:2959748 [wandb_init.py:init():623] setting up manager
2024-12-05 14:28:31,029 INFO    MainThread:2959748 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-05 14:28:31,031 INFO    MainThread:2959748 [wandb_init.py:init():631] backend started and connected
2024-12-05 14:28:31,036 INFO    MainThread:2959748 [wandb_init.py:init():720] updated telemetry
2024-12-05 14:28:31,097 INFO    MainThread:2959748 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-12-05 14:28:31,711 INFO    MainThread:2959748 [wandb_run.py:_on_init():2435] communicating current version
2024-12-05 14:28:31,818 INFO    MainThread:2959748 [wandb_run.py:_on_init():2444] got version response upgrade_message: "wandb version 0.19.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-12-05 14:28:31,818 INFO    MainThread:2959748 [wandb_init.py:init():804] starting run threads in backend
2024-12-05 14:28:35,139 INFO    MainThread:2959748 [wandb_run.py:_console_start():2413] atexit reg
2024-12-05 14:28:35,139 INFO    MainThread:2959748 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-12-05 14:28:35,139 INFO    MainThread:2959748 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-12-05 14:28:35,139 INFO    MainThread:2959748 [wandb_run.py:_redirect():2345] Redirects installed.
2024-12-05 14:28:35,140 INFO    MainThread:2959748 [wandb_init.py:init():847] run started, returning control to user process
2024-12-05 14:51:36,928 INFO    MainThread:2959748 [wandb_run.py:_finish():2107] finishing run khanhbuan/iKUN/0itszppa
2024-12-05 14:51:36,929 INFO    MainThread:2959748 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-12-05 14:51:36,929 INFO    MainThread:2959748 [wandb_run.py:_restore():2352] restore
2024-12-05 14:51:36,929 INFO    MainThread:2959748 [wandb_run.py:_restore():2358] restore done
2024-12-05 14:51:44,248 INFO    MainThread:2959748 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-12-05 14:51:44,249 INFO    MainThread:2959748 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-12-05 14:51:44,257 INFO    MainThread:2959748 [wandb_run.py:_footer_sync_info():3975] logging synced files
