1,1,884.42,203.66,354.38,169.75,1.00,-1,-1,-1
2,1,915.88,208.11,323.03,164.91,1.00,-1,-1,-1
3,1,956.15,216.91,282.79,156.70,1.00,-1,-1,-1
4,1,1009.40,237.12,229.75,135.74,1.00,-1,-1,-1
77,4,470.65,174.27,47.10,21.84,1.00,-1,-1,-1
78,4,471.48,176.03,44.58,22.17,1.00,-1,-1,-1
79,4,455.33,177.66,56.20,22.41,1.00,-1,-1,-1
80,4,441.93,177.25,65.81,24.77,1.00,-1,-1,-1
81,4,445.43,176.64,60.05,23.86,1.00,-1,-1,-1
82,4,449.76,175.18,50.94,24.17,1.00,-1,-1,-1
83,4,442.55,174.55,55.02,24.77,1.00,-1,-1,-1
84,4,436.09,175.12,57.38,25.48,1.00,-1,-1,-1
85,4,429.76,176.80,60.41,25.87,1.00,-1,-1,-1
86,4,426.84,176.89,58.73,26.48,1.00,-1,-1,-1
87,4,421.76,176.74,59.92,26.64,1.00,-1,-1,-1
88,4,415.40,176.11,63.05,26.89,1.00,-1,-1,-1
89,4,406.62,175.05,67.89,27.76,1.00,-1,-1,-1
90,4,404.19,176.26,65.99,27.58,1.00,-1,-1,-1
91,4,403.08,176.78,63.19,28.61,1.00,-1,-1,-1
92,4,394.23,178.36,69.31,29.10,1.00,-1,-1,-1
93,4,389.73,179.71,69.47,30.22,1.00,-1,-1,-1
94,4,385.66,179.55,68.96,30.43,1.00,-1,-1,-1
95,4,379.79,180.20,69.43,30.75,1.00,-1,-1,-1
96,4,367.58,179.80,97.45,31.39,1.00,-1,-1,-1
97,4,364.12,179.52,66.14,32.46,1.00,-1,-1,-1
98,4,360.48,179.89,62.40,32.26,1.00,-1,-1,-1
99,4,347.87,180.35,98.68,33.33,1.00,-1,-1,-1
100,4,339.02,179.64,96.96,33.99,1.00,-1,-1,-1
101,4,330.66,177.77,97.50,34.29,1.00,-1,-1,-1
102,4,325.85,174.77,94.92,36.03,1.00,-1,-1,-1
103,4,315.93,173.91,92.02,36.88,1.00,-1,-1,-1
104,4,307.18,175.19,98.45,37.40,1.00,-1,-1,-1
105,4,292.56,177.85,103.51,38.17,1.00,-1,-1,-1
106,4,277.67,179.02,108.70,39.69,1.00,-1,-1,-1
107,4,264.20,179.39,107.26,40.89,1.00,-1,-1,-1
162,9,1135.30,176.32,104.49,99.93,1.00,-1,-1,-1
163,9,1150.10,174.35,91.90,110.00,1.00,-1,-1,-1
164,9,1165.65,169.31,72.75,118.11,1.00,-1,-1,-1
165,9,1187.83,167.95,51.44,113.78,1.00,-1,-1,-1
166,9,1210.00,166.59,30.13,109.45,1.00,-1,-1,-1
